instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,clean_symbol
NSE_EQ|INE027A01015,2866,RCF,RASHTRIYA CHEMICALS & FER,130.58,,,0.01,1.0,EQUITY,,NSE_EQ,RCF
NSE_EQ|INE242A01010,1624,IOC,INDIAN OIL CORP LTD,176.77,,,0.01,1.0,EQUITY,,NSE_EQ,IOC
NSE_EQ|INE0DK501011,11571,PPLPHARMA,PIRAMAL PHARMA LIMITED,165.95,,,0.01,1.0,EQUITY,,NSE_EQ,PPLPHARMA
NSE_EQ|INE0BV301023,7227,MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,1234.2,,,0.1,1.0,EQUITY,,NSE_EQ,MAPMYINDIA
NSE_EQ|INE131A01031,5204,GMDCLTD,GUJARAT MINERAL DEV CORP,571.1,,,0.05,1.0,EQUITY,,NSE_EQ,GMDCLTD
NSE_EQ|INE692A01016,10753,UNIONBANK,UNION BANK OF INDIA,178.87,,,0.01,1.0,EQUITY,,NSE_EQ,UNIONBANK
NSE_EQ|INE477A01020,583,CANFINHOME,CAN FIN HOMES LTD,884.25,,,0.05,1.0,EQUITY,,NSE_EQ,CANFINHOME
NSE_EQ|INE739E01017,15039,CERA,CERA SANITARYWARE LTD,5111.8,,,0.1,1.0,EQUITY,,NSE_EQ,CERA
NSE_EQ|INE04I401011,9683,KPITTECH,KPIT TECHNOLOGIES LIMITED,861.7,,,0.1,1.0,EQUITY,,NSE_EQ,KPITTECH
NSE_EQ|INE061F01013,14592,FORTIS,FORTIS HEALTHCARE LTD,916.75,,,0.05,1.0,EQUITY,,NSE_EQ,FORTIS
NSE_EQ|INE010V01017,18564,LTTS,L&T TECHNOLOGY SER. LTD.,3509.3,,,0.1,1.0,EQUITY,,NSE_EQ,LTTS
NSE_EQ|INE263A01024,383,BEL,BHARAT ELECTRONICS LTD,435.55,,,0.05,1.0,EQUITY,,NSE_EQ,BEL
NSE_EQ|INE120A01034,595,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,825.5,,,0.05,1.0,EQUITY,,NSE_EQ,CARBORUNIV
